feature,importance_weight,importance_gain,importance_cover
days_for_shipment_scheduled,2,2132.754395,27537.5
shipping_mode,34,1942.7039562823518,40501.35535882352
order_region,72,3.4850524008999995,11612.541303615553
market,30,3.372973124333334,3604.4688810533335
order_item_product_price,33,2.5530365375757573,6256.047697269698
order_item_profit_ratio,53,2.4897161428679255,2188.465273116982
order_profit_per_order,57,2.488532175912281,6203.678463028071
department_name,13,2.4728234281538466,6849.57285246154
customer_segment,23,2.389174913913044,10576.755529360868
order_item_discount_rate,52,2.380269912538461,5222.6336093750015
category_name,32,2.32240722390625,2660.8875566684374
order_item_total,75,2.2780096785093327,5088.459168294667
order_item_quantity,10,2.2744207625999997,4159.353073352
